epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,val_ema_loss,val_ema_acc,val_ema_prec,val_ema_rec,val_ema_f1,epoch_time_seconds
11,0.00025293624568031,0.5234556027821132,0.8099856321839081,0.8112595659340027,0.8097623801204716,0.8101236902005684,0.4607643991708755,0.83875,0.8560498514492607,0.8387500000000001,0.8364289428288005,0.48000280261039735,0.855,0.8539414293518302,0.855,0.8534107576270631,133.88598775863647
12,0.00023957378875541792,0.5482344855581011,0.8304597701149425,0.8318121808222924,0.8304309538691514,0.8304310567713609,0.49625508308410643,0.87125,0.8678406247804599,0.8712500000000001,0.8674366122572468,0.4693036502599716,0.85375,0.8545459778922888,0.85375,0.8518898029061958,121.06219410896301
13,0.000225,0.5044696824891227,0.8362068965517241,0.8377613974681846,0.8361355235093992,0.8367605062497974,0.4358587211370468,0.865,0.8631622696220369,0.865,0.8634950341166407,0.4578895032405853,0.8525,0.8546905618656594,0.8525,0.8502139861761349,116.03277015686035
14,0.0002094119649058735,0.45492035397461483,0.8318965517241379,0.8324951425113875,0.8317444654550259,0.8319634750180326,0.422760449051857,0.89,0.8961081282802792,0.89,0.8915968332191953,0.4443029808998108,0.875,0.8802089989506527,0.875,0.8735325337664467,123.5200707912445
15,0.00019302048490666353,0.49757177335875374,0.8204022988505747,0.8212993797191861,0.8204347598784991,0.8208216978442465,0.4385562819242477,0.885,0.8893487267770496,0.885,0.8849826264014455,0.4291863059997559,0.89125,0.8928472862596841,0.89125,0.8904658879132089,133.22704005241394
16,0.00017604722665003956,0.5233613843577248,0.8261494252873564,0.8282005507971539,0.8260607662316108,0.8268972601491601,0.40727339923381806,0.89125,0.893663942043997,0.89125,0.8905787527319626,0.4204470407962799,0.90625,0.906352948568722,0.90625,0.9058404724163265,121.88298392295837
17,0.00015872172433657134,0.4117027728898185,0.8649425287356322,0.8655761338327077,0.8649889603187523,0.8652514775148763,0.43005247592926027,0.88125,0.8846886268014346,0.88125,0.8801154156879321,0.4082842618227005,0.905,0.9050349825087457,0.905,0.904505335996288,114.56042504310608
18,0.00014127827566342863,0.40047022581100467,0.9152298850574713,0.9156131377515411,0.9151573090486416,0.9153632777658716,0.459467533826828,0.8725,0.8734222443819802,0.8725,0.8723120492362699,0.40337917029857634,0.90375,0.9030059577541073,0.9037499999999999,0.9032289795840658,120.26199793815613
19,0.00012395277334996044,0.4343047501359667,0.8459051724137931,0.8476161082528577,0.8460058276894319,0.846476683672424,0.42838573694229126,0.8925,0.8922507148919644,0.8925,0.8904918629641029,0.39712040483951566,0.90875,0.9083095748472765,0.90875,0.9083400889130306,111.47423315048218
20,0.0001069795150933365,0.4334067737204688,0.8735632183908046,0.8749347199714894,0.8735010680319297,0.8740354868735807,0.4019776952266693,0.91125,0.91255153528586,0.91125,0.9117203369476667,0.3914527261257172,0.905,0.904236622509061,0.9049999999999999,0.9045491910354881,113.07408118247986
21,9.058803509412646e-05,0.3942385004247938,0.8674568965517241,0.8687262944946524,0.8674378629483608,0.8678696644104774,0.42973843216896057,0.90375,0.9018140251791209,0.90375,0.902545303023799,0.3885662269592285,0.905,0.9047764512790807,0.905,0.9048170396745233,110.66215085983276
22,7.500000000000002e-05,0.3588243705885751,0.9116379310344828,0.9124198913006654,0.9116639649450284,0.911915898484973,0.4294480067491531,0.91625,0.916352881008533,0.91625,0.916150380836568,0.38846557021141054,0.90125,0.9011544089507215,0.90125,0.901147770534811,113.45317101478577
